,State,Latitude,Longitude,City
0,AL,32.6010112,-86.6807365,Alabama
1,AK,61.3025006,-158.7750198,Alaska
2,AZ,34.1682185,-111.930907,Arizona
3,AR,34.7519275,-92.1313784,Arkansas
4,CA,37.2718745,-119.2704153,California
5,CO,38.9979339,-105.550567,Colorado
6,CT,41.5187835,-72.757507,Connecticut
7,DE,39.145251,-75.4189206,Delaware
8,DC,38.8993487,-77.0145666,District of Columbia
9,FL,27.9757279,-83.8330166,Florida
10,GA,32.6781248,-83.2229757,Georgia
11,HI,20.46,-157.505,Hawaii
12,ID,45.4945756,-114.1424303,Idaho
13,IL,39.739318,-89.504139,Illinois
14,IN,39.7662195,-86.441277,Indiana
15,IA,41.9383166,-93.389798,Iowa
16,KS,38.4987789,-98.3200779,Kansas
17,KY,37.8222935,-85.7682399,Kentucky
18,LA,30.9733766,-91.4299097,Louisiana
19,ME,45.2185133,-69.0148656,Maine
20,MD,38.8063524,-77.2684162,Maryland
21,MA,42.0629398,-71.718067,Massachusetts
22,MI,44.9435598,-86.4158049,Michigan
23,MN,46.4418595,-93.3655146,Minnesota
24,MS,32.5851062,-89.8772196,Mississippi
25,MO,38.3046615,-92.437099,Missouri
26,MT,46.6797995,-110.044783,Montana
27,NE,41.5008195,-99.680902,Nebraska
28,NV,38.502032,-117.0230604,Nevada
29,NH,44.0012306,-71.5799231,New Hampshire
30,NJ,40.1430058,-74.7311156,New Jersey
31,NM,34.1662325,-106.0260685,New Mexico
32,NY,40.7056258,-73.97968,New York
33,NC,35.2145629,-79.8912675,North Carolina
34,ND,47.4678819,-100.3022655,North Dakota
35,OH,40.1903624,-82.6692525,Ohio
36,OK,35.3097654,-98.7165585,Oklahoma
37,OR,44.1419049,-120.5380993,Oregon
38,PA,40.9945928,-77.6046984,Pennsylvania
39,RI,41.5827282,-71.5064508,Rhode Island
40,SC,33.62505,-80.9470381,South Carolina
41,SD,44.2126995,-100.2471641,South Dakota
42,TN,35.830521,-85.9785989,Tennessee
43,TX,31.1693363,-100.0768425,Texas
44,UT,39.4997605,-111.547028,Utah
45,VT,43.8717545,-72.4477828,Vermont
46,VA,38.0033855,-79.4587861,Virginia
47,WA,38.8993487,-77.0145665,Washington
48,WV,38.9201705,-80.1816905,West Virginia
49,WI,44.7862968,-89.8267049,Wisconsin
50,WY,43.000325,-107.5545669,Wyoming
